address,num_of_common,num_of_bronze,num_of_silver,num_of_gold,num_of_platinum,num_of_brilliant
omniflix18hfl4hn20w5s0t8aq6fd2f76l2nqjgws3zvtaq,3,1,0,0,0,0
omniflix1h6v090q9fmmk2zyxanvl0jv9r0l95y92n0rfch,3,0,0,0,0,0
omniflix10wlv66u6mf5qxs576gurc602rahqnl3lwy4dvd,0,0,1,0,0,0
omniflix1csrx3e3je2nrz78gq6qv5tx2ehj4u57099902f,0,3,5,0,0,0
omniflix1zp5rzgc585et2zsej674jcjwnmv4llfmtnhsk4,0,2,0,0,0,0
omniflix1jsv80w8j5e7sy7rvntmmfldnq4gq7rte68sw0q,0,1,0,0,0,0
omniflix19pamn9mx6j4r7w92jvchd5s9j9yr0f93th9pw8,0,2,1,1,0,0
omniflix14lv9wfzvml2l5j3mg907dtjxgr480s3h4m9rgm,0,2,0,0,0,0
omniflix1cugqyunq2rv4ujx8l56zw4t2a7jccd7s9wyl02,0,0,2,0,0,0
omniflix1cs738jq6wadmc6vnkeglf2tmqk7cszvw3nqu3f,0,2,0,0,0,0
omniflix13erkyc9gvlunmffckqcqh5hvm3ql009gstturq,1,1,0,0,0,0
omniflix16t2xaexj70vdmajmtke84625jmj62rwetv7kzt,1,1,0,0,0,0
omniflix1j7355k9uekzcyugvjvfdvmz979r77n2ss5wrp9,0,2,0,0,0,0
omniflix1x98aduuact2q9vug7p27vee2v38lkn6fnuq24j,0,3,3,0,0,0
omniflix123qh6l2x8syjxu5ksk23qelpf7kyfpxxdyk7k0,2,0,0,0,0,0
omniflix1dhu8u0w70xfrdz4d9zytuccjas5d4gc5w5tsta,1,2,0,0,0,0
omniflix1eat0ackuv07ep0et9x60lg8c3fj9s236y9wnj5,0,2,0,0,0,0
omniflix1u0sdjp5klr600q6qpekq35w84unlx4frtqv5m7,0,0,2,0,0,0
omniflix1jfgf7skyfzq4kc7r62gatq0czf8k03a5wnzkqc,0,2,0,0,0,0
omniflix1q2c7walr4mlp04nsuz9f27zrlfrz959y7avwmq,0,2,0,0,0,0
omniflix1rp5vgppcxqglqjwvhxp4ype5gfst28z9scnagw,5,1,0,0,0,0
omniflix1np859wgjnf2x5eq0933nl49m8ls49zzflk2hvp,0,3,0,0,0,0
omniflix1qneddrmjzagjulftsf2y67cg4l64gmt2a3lc25,0,2,0,0,0,0
omniflix1jmqd8shwzfk9unr4xw8g6uuev0590cnzg6wmqg,0,2,0,0,0,0
omniflix1al55nvzheg8rcafgc9cjp9jruwwucfl49ua3qd,0,2,0,0,0,0
omniflix174qdjts959xc630deax4j2dtxy77vp85fru08l,3,0,0,0,0,0
omniflix1lkl9uv0cljhzmhuzdvd2lf2swyrxnzyectq8ul,0,2,3,0,0,0
omniflix1qfvxfqa4azhv54t8zvetdfwfcfg4lhj8rjuxnh,0,2,0,0,0,0
omniflix19vul55q3yss83ksm0dtykfhhwt2qag8l3r44yk,1,1,0,0,0,0
omniflix13c03ezdgaqatrge84phasn9hgz6q0gq2lg4vyh,1,1,0,0,0,0
omniflix1ys3pvfx4h69p2vqmstva4zgafk5rgl3cv0knxk,3,0,0,0,0,0
omniflix14q9denl72axguve4cs5y03e60dcucwhtuccptj,3,0,0,0,0,0
omniflix1a3xtgcc40jfllx4qee8zjdrmhr5mf6l4mdgn0r,0,2,0,0,0,0
omniflix1k3wd46vqhy65e8me5vlwershetqm6psp3zp0s2,0,1,0,2,0,0
omniflix1asj7qke2n643fx2q3f5jy554z9xlv626s4z263,0,1,1,0,0,0
omniflix1zdvpuddc062avllcd3ktywpnpprd45dka38t7w,3,0,0,0,0,0
omniflix1gm55r0kv3rxkzs8pjn8utd9flr05f6la6m70sn,0,0,2,0,0,0
omniflix1e5recc2flv6el666f408hq357jghqgxepwe4sw,1,1,0,0,0,0
omniflix1dg9p2eg7qt667594fgz290cc9s9k7np5ka8gyt,0,0,5,2,0,0
omniflix156xqrsq4jzrwahu3xpxe0hnql4p5rnmzfw9e00,1,1,0,0,0,0
omniflix1dnj4dsfdfvr3kz9znyvt278jp48a95fv40yjek,2,0,0,0,0,0
omniflix135akykyy9kxl5seynh5pa05mzyvzs6amhl8cz3,0,2,0,0,0,0
omniflix1h2ymggrye9qlmrnqeenpxyk4fgqruy6qthkvyt,0,2,0,0,0,0
omniflix1mq8keaufh58sty676u4vq5fy9np3ex27azsjya,0,2,0,0,0,0
omniflix1uk87my5st8c3eslkkw2gee9htk8dclfdm9mcw9,3,0,0,0,0,0
omniflix14yxukz702p2jwv0dd29ncguh6nah3e6q7rkjer,2,0,0,0,0,0
omniflix1kl6r5yh26yrjmrh6ln0s0dtj0fux94wefn3lly,2,0,0,0,0,0
omniflix1s3achxs70ysg8pf9xqyytu0m4had60khvw2e8h,0,2,0,2,0,0
omniflix1djhflqdzejnrcrtyup28a2jzeem3y0cw8d0266,0,0,2,0,0,0
omniflix13k4m0kmah97x7gsl95hw0v296llw6zlpsp9mrn,2,0,0,0,0,0
omniflix1jsmc8658gk8hrghaskmzl36z3san9hsct3ldav,3,0,0,0,0,0
omniflix1g9gkn7lq9j6t3sffufxutgkl5pszrrg46s6nz8,1,0,0,0,0,0
omniflix1rtenywfqa4wl9z9wpgqus2647q2m8hz8vcsyy3,3,0,0,0,0,0
omniflix1msxzprqa3sxzmaluhdx993ve6v845y0ncdf2x6,0,2,0,0,0,0
omniflix1zzeg9342ksdd7cazsvw5cdelhck8fgwrw4axl3,0,2,0,0,0,0
omniflix1en26h79ypsaydph95y7a3ft6hcaeytyxlmk8vc,0,0,4,2,0,0
omniflix1c26gemzgtump82gw26wxxrtzr79mpxtv66mkqm,0,2,2,1,0,0
omniflix1gwvse9cgyvchm3ndhyn4f3lj94vlzvp6affqt7,0,2,0,0,0,0
omniflix1v0fydt5wr30dxp9ku9lurtestw7rp9tz068fvr,3,3,0,0,0,0
omniflix1apqesvcpam2ntmkvh4cvsna60evrrkzwmchq7a,1,1,0,0,0,0
omniflix1aqzntapq78s3tacqgk8sp9hr9ls3zgvpk638th,2,0,0,0,0,0
omniflix19q7663ccqp45ypv9uydp70c2vhvst6e26wzewg,1,1,0,0,0,0
omniflix1h8dtvthltrr2a0dg8vjyc28d6e4vmlfdzqap3r,0,2,1,0,0,0
omniflix1wpcau49fzww4ltfyjgzkcf0dmfcyzff09jua6u,3,0,0,0,0,0
omniflix1hucgjun2h7u0eep9chutn2r7cqh3qu7prd7th7,0,2,0,0,0,0
omniflix1lntllst98rrrp2prrr8mquleuc7ahpz3mdxs2g,3,0,0,0,0,0
omniflix1xhuanng8732yfxe0ftpt3qnnlmmzwm3amzg2rz,0,3,4,0,0,0
omniflix1ytn6xz38hmrxfk8ysuulkjmxatwxmw2r5c8cw7,0,2,0,0,0,0
omniflix1y08frsffzruvr52jy9fes5tcd48exdrgyllfze,3,0,0,0,0,0
omniflix1jrst00xa0rz9f9dt8kdztzrshrjm2w27zws9sa,0,2,0,0,0,0
omniflix19c02uqqpj9cqxpwepz7ndragqvh2x4t7mamfkt,0,4,3,2,0,0
omniflix1sy5skj24uzrgngd7cl4h6wlw8j4sm9hd8atrrx,3,0,0,0,0,0
omniflix1cr5522lllzryucafv384fjyu2vd3ysjxhsx7xw,0,2,0,0,0,0
omniflix1esh7f7vkeusw76kqmxugagpv92vrxll3vjv5r5,0,4,4,0,0,0
omniflix1mdmp8y26f33paxtpm7g0gvtyw88772k0ffrr5e,2,0,0,0,0,0
omniflix1mr45u4dmlls94wdl4qa3p8r7sajwne3waq587f,0,3,0,3,0,0
omniflix1qqlp5d4gjwd0cw2g9xzphmk7txecvnvf9qdwvz,0,2,0,0,0,0
omniflix1yux7argdf7d2tt0k6u4f7aygt7usyljfh344l0,1,3,0,1,0,0
omniflix1xshup3yu7sefreexnzhu2xd46ylefq49yllpzn,0,0,2,0,0,0
omniflix19putahtcfue5pgcmnldc5jhes06tc6xfnu6e7l,0,1,4,4,0,0
omniflix1qwtfg8smvgft0vsaya7fg4d646mpnw9zt3k92x,0,2,0,0,0,0
omniflix1kfhadthqkht6y0u4sxkue8s4serhr4u22a3dhu,3,0,0,0,0,0
omniflix1nfpqztkxvaa4hmnaqgfp232ypl68yt77xtkgfy,3,1,0,0,0,0
omniflix15kuf2r52gzgqx8kshyc9c7hma7n5e9zhzymwps,3,0,0,0,0,0
omniflix1ldsjjjn30turujuyyxpspvphckll42yskmz2q4,0,2,2,0,0,0
omniflix12ltj4rrl97vx724djvte5plrm6ppax3fch2cwt,0,2,0,0,0,0
omniflix1q6us6wc3wgcjgnvwtlvhwwf2da47rlwtj82mem,3,0,0,0,0,0
omniflix1tf87q77uj2r6e88g53qynkzcwgkemyazear0l7,0,0,2,0,0,0
omniflix19mehn522gdccdctlqxpye8gfs0nh4ynnkec3da,0,1,1,0,0,0
omniflix1ydhsffqsku607lgume959rsjj4ns9lslfgcdc9,0,1,0,0,0,0
omniflix1lleekmncs34p5krcckpmq2sa32jch2azhaev0a,0,2,0,0,0,0
